# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=All Fusion Harvest Change Manager,,,,,,,,
memberOf,"CN=RL.App.Harvest.QLn_AUDIT.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_AUDIT.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN AUDIT
memberOf,"CN=RL.App.Harvest.QLn_CIB.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_CIB.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN CIB
memberOf,"CN=RL.App.Harvest.QLn_COE.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_coe.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN COE
memberOf,"CN=RL.App.Harvest.QLn_Consumer.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_consumer.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Consumer
memberOf,"CN=RL.App.Harvest.QLn_EIS.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_eis.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN EIS
memberOf,"CN=RL.App.Harvest.QLn_Finance.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_finance.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Finance
memberOf,"CN=RL.App.Harvest.QLn_HR.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_hr.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN HR
memberOf,"CN=RL.App.Harvest.QLn_Marketing.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_marketing.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Marketing
memberOf,"CN=RL.App.Harvest.QLn_Mortgage.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_mortgage.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Mortgage
memberOf,"CN=RL.App.Harvest.QLn_Risk.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_risk.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Risk
memberOf,"CN=RL.App.Harvest.QLn_Wholesale.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qln_wholesale.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLN Wholesale
memberOf,"CN=RL.App.Harvest.QLS.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS
memberOf,"CN=RL.App.Harvest.QLS.QA.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls.QA.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS QA
memberOf,"CN=RL.App.Harvest.QLS_AUDIT.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_AUDIT.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS AUDIT
memberOf,"CN=RL.App.Harvest.QLS_CIB.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_CIB.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS CIB
memberOf,"CN=RL.App.Harvest.QLS_COE.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_coe.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS COE
memberOf,"CN=RL.App.Harvest.QLS_Consumer.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_consumer.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Consumer
memberOf,"CN=RL.App.Harvest.QLS_EIS.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_eis.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS EIS
memberOf,"CN=RL.App.Harvest.QLS_Finance.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_finance.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Finance
memberOf,"CN=RL.App.Harvest.QLS_HR.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_hr.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS HR
memberOf,"CN=RL.App.Harvest.QLS_Marketing.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_marketing.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Marketing
memberOf,"CN=RL.App.Harvest.QLS_Risk.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_risk.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Risk
memberOf,"CN=RL.App.Harvest.QLS_Wholesale.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_wholesale.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Wholesale
