Role,Profile Description,Profile Filter(s),Profile Application,SoxCritical,Privileged,Owner
DEL30DFO,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CONTROL-TBL-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-DEALER-TOLER-OVRD-IND";"USR-TYPE U";"USR-INACTIVE-OVRD-IND B"})',ACAPS,TRUE,FALSE,ZLP3
DEL30FIN,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-INACTIVE-OVRD-IND B";"USR-MIN-MAX-OVR";"USR-FLAT-FEE-ACCESS"})',ACAPS,TRUE,FALSE,ZLP3
DEL30FRD,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-FRAUD-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-FRAUD-FILE-ACCESS-IND I";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-SUPERVISOR-FLAG"})',ACAPS,TRUE,FALSE,ZLP3
DEL30OVR,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-BO-RO-OVERRIDE Y"})',ACAPS,TRUE,FALSE,ZLP3
DEL30MCL,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-SCORED-RPT-OVRD-IND";"USR-TYPE U";"USR-BO-RO-OVERRIDE Y"})',ACAPS,TRUE,FALSE,ZLP3
DEL30OFF,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-DOC-PREP-OVRD-IND";"USR-SUPERVISOR-FLAG";"USR-SS-ACT-ACCESS"})',ACAPS,TRUE,FALSE,ZLP3
DEL30POV,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-BO-RO-OVERRIDE P"})',ACAPS,TRUE,FALSE,ZLP3
DEL30VEN,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U";"USR-VND-RTE-OVR"})',ACAPS,TRUE,FALSE,ZLP3
DEL30WIG,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 30";"USR-CREDIT-BUREAU-REQ-IND";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-DUPL-CLEAR-AUTH-IND";"USR-ST-TRANSITION-OVRD-IND";"USR-TURNDOWN-AUTH-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-TYPE U"})',ACAPS,TRUE,FALSE,ZLP3
DEL35CNA,No Description,'ENTITLEMENT.CONTAINS_ALL({"USR-CAPABILITY-LEVEL 35";"USR-CREDIT-BUREAU-FMT-CD CBR";"USR-ST-TRANSITION-OVRD-IND";"USR-ARL-REQ-IND";"USR-CBR-SERVICE-LEVEL 0";"USR-MAX-REQUEST-PRIORITY-LVL 6";"USR-DEALER-TOLER-OVRD-IND";"USR-TYPE U";"USR-OR-DLR-MIN-MAX";"USR-INACTIVE-OVRD-IND B";"USR-MIN-MAX-OVR"})',ACAPS,TRUE,FALSE,ZLP3
