# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=Empower,,,,,,,,
Role,LightsOutProcessing,LightsOutProcessing,UVMZ8,TRUE,FALSE,FALSE,FALSE,Lights Out Processing. Process ID not assigned to users.
Role,Loan Officer Assistant,Loan Officer Assistant (LOA),UGJD13,TRUE,FALSE,FALSE,FALSE,Provides assistance to loan officers.
Role,Loan Origination Manager,Loan Origination Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages producing loan officers and originates mortgage loans
Role,Loan Originator,Loan Originator,UGJD13,TRUE,FALSE,FALSE,FALSE,Originates Mortgage Loans
Role,Loan Safe Analyst,Loan Safe Analyst,U8JB99,TRUE,FALSE,FALSE,FALSE,Teammates are underwriters assiting fraud review
Role,LOS Config,LOS Config,UVBM97,TRUE,TRUE,FALSE,FALSE,Provides assistance with configuration and setup of Empower.
Role,Manager,Manager,UVBM97,TRUE,FALSE,FALSE,FALSE,Generic manager role for all areas. Not Used.
Role,MERS Manager,MERS Manager,UVPW7,TRUE,FALSE,FALSE,FALSE,Manages the Mortgage Electronic Registration area and teammates.
Role,MERS Specialist,MERS Specialist,UVPW7,TRUE,FALSE,FALSE,FALSE,Helps with getting the Mortgage Electronic Registration on all loans.
Role,MLC,MLC,UGJD13,TRUE,FALSE,FALSE,FALSE,Performs in the same role as an LOA assisting Loan Officers with mortgage loans.
Role,MLS,MLS,UGJD13,TRUE,FALSE,FALSE,FALSE,Performs in the same role as an LOA assisting Loan Officers with mortgage loans.
Role,MLS Manager,MLS Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages the MLS teammates.
Role,MLS Supervisor,MLS Supervisor,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages the MLS teammates.
Role,New Loan Setup,New Loan Setup,UVKR76,TRUE,FALSE,FALSE,FALSE,Handles the setup of new loans as they beging the process of going from initial applicatiion.
Role,New Loan Setup Manager,New Loan Setup Manager,UVKR76,TRUE,FALSE,FALSE,FALSE,Manages the new loan setup teammates.
Role,New Loan Setup Supervisor,New Loan Setup Supervisor,UVKR76,TRUE,FALSE,FALSE,FALSE,Manages the new loan setup teammates.
Role,NLSU MLS Coordinator,NLSU MLS Coordinator,UGJD13,TRUE,FALSE,FALSE,FALSE,Helps to coordinate an assign new loans to the new loan setup team.
Role,Operations Manager,Operations Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Mortgage Production Manager Teammates
Role,Orchestration Engine Role,Orchestration Engine Role,UVMZ8,TRUE,FALSE,FALSE,FALSE,"This will be for the configuration team. It grants access to the OE setup. Process ID, no users assigned to this."
Role,Override Blackout Period,Override Blackout Period,UVBM97,TRUE,FALSE,FALSE,FALSE,This is for secondary marketing to allow for overrides to the Blackout Period for pricing.
Role,Pend Resolution Manager,Pend Resolution Manager,UVJO1,TRUE,FALSE,FALSE,FALSE,Post Closing Area - manages team that handles closed loans that have issues (pends) that need resolved for saleability
Role,Pend Resolution Specialist,Pend Resolution Specialist,UVJO1,TRUE,FALSE,FALSE,FALSE,Post Closing Area - handles closed loans that have issues (pends) that need resolved for saleability
Role,Document Portal Administrators,Portal Administrator,UVSI5,TRUE,FALSE,FALSE,FALSE,Not in place yet - This will be the administrator for the Client Portal
Role,Portal User,Portal User,UVSI5,TRUE,FALSE,FALSE,FALSE,Not in place yet - This will allow access to the Client Portal
Role,Post Closer,Post Closer,UVJO1,TRUE,FALSE,FALSE,FALSE,Handles the post closing part of loans. Generic role - not used
Role,Post Closing Manager,Post Closing Manager,UVJO1,TRUE,FALSE,FALSE,FALSE,Manages the post closing department and teammates.This is for all areas.
Role,Pre Closing Quality Analyst (PQA),Pre Closing Quality Analyst (PQA),UVMP87,TRUE,FALSE,FALSE,FALSE,Person who reviews files just prior to issuing closing package to help prevent unsaleable loans.
Role,Pre Funding,Pre Funding,UVAD12,TRUE,FALSE,FALSE,FALSE,Performs same functions as the PQA Role. Currently no teammates in this role.
Role,Processing Manager,Processing Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Manages the processing teammates and department.
Role,Processor,Processor,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles processing the loan for the loan officer.
Role,QC Analyst,QC Analyst,UVAD12,TRUE,FALSE,FALSE,FALSE,"In QC department - reviews files for quality to make sure defects are minimal and if found, mitigated - This role will review the loan prior to closing"
Role,QC Analyst (Post Closing),QC Analyst (Post Closing),UVJM228,TRUE,FALSE,FALSE,FALSE,This is a QC Analyst for loans that are closed.
Role,QC Analyst Manager,QC Analyst Manager,UVLW81,TRUE,FALSE,FALSE,FALSE,Manager of the QC Team
Role,Redisclosure Associate,Redisclosure Associate,UFDO12,TRUE,FALSE,FALSE,FALSE,Person that reviews and rediscloses on loans
Role,Redisclosure Associate Coordinator,Redisclosure Associate Coordinator,UFDO12,TRUE,FALSE,FALSE,FALSE,Person that monitors Redisclosure Assoc. mailbox and distributes the tasks to be reviewed
Role,Redisclosure Associate Manager,Redisclosure Associate Manager,UFDO12,TRUE,FALSE,FALSE,FALSE,Manages the redisclosure teammates
Role,Repair Escrow,Repair Escrow,UGLV8,TRUE,FALSE,FALSE,FALSE,Would review for any funds held back for repair escrows. Currently no teammates in this role.
Role,Respa Cure,Respa Cure,UVJO1,TRUE,FALSE,FALSE,FALSE,Reivews loans for any possible Respa Cure
Role,Sales Manager,Sales Manager,UGJD13,TRUE,FALSE,FALSE,FALSE,Manages loan originators but does not originate loans
Role,Scan Station Admin,Scan Station Admin,UFKF31,TRUE,FALSE,FALSE,FALSE,Handles exception management for scanned documents coming into Empower
Role,Secondary,Secondary,UVCD102,TRUE,FALSE,FALSE,FALSE,Works for the lock desk.
Role,Secondary Manager,Secondary Manager,UVCD102,TRUE,FALSE,FALSE,FALSE,Manages the lock desk and teammates.
Role,Setup New Account Access Role,Setup New Account Access Role,UVBM97,TRUE,TRUE,FALSE,FALSE,Role for teammates in Site Administration who verify user setups.
Role,SetupAdministrator,SetupAdministrator,UVBM97,TRUE,FALSE,FALSE,FALSE,This is a configuration team role. Allowing the user access to all setup
Role,Underwriter,Underwriter,UVCH27,TRUE,FALSE,FALSE,FALSE,Users underwrite mortgage loans
Role,Underwriter Exception Coordinator,Underwriter Exception Coordinator,UVCH27,TRUE,FALSE,FALSE,FALSE,Handles assignment of loans to underwriters who can approve loans outside of guidelines
Role,Underwriting Exception,Underwriting Exception,UVCH27,TRUE,FALSE,FALSE,FALSE,Underwriters who can approve loans outside of guidelines
Role,Underwriting Manager,Underwriting Manager,UVCH27,TRUE,FALSE,FALSE,FALSE,Manages the underwriting division and teammates
Role,VA Insurer,VA Insurer,UVAB3,TRUE,FALSE,FALSE,FALSE,Ensures that VA loans obtain the government insuring
Role,View Only,View Only,UVCC32,TRUE,FALSE,FALSE,FALSE,Users in this role can view all parts of Empower but can't make any changes to loans
Role,View Only LOS and Setups,View Only LOS and Setups,UVBM97,TRUE,FALSE,FALSE,FALSE,"The ability to view the LOS without authority to edit anything, as well as view only access to Setups."
Role,View Setup Full LOS Admin,View Setup Full LOS Admin,UVBM97,TRUE,TRUE,TRUE,FALSE,"The ability to view the setups, but does have authority to update the LOS"
Role,WAT Manager,WAT Manager,UVKR76,TRUE,FALSE,FALSE,FALSE,Manages the Exectuion Analyst Team
Role,Wire Ops,Wire Ops,UVCH27,TRUE,TRUE,FALSE,FALSE,Wire group that handles the wires for closing
Role,Withdrawn Denied Incomplete,Withdrawn Denied Incomplete,UVMZ8,TRUE,FALSE,FALSE,FALSE,"This group would review all loans that are cancelled, withdrawn and denied to move them to the completed queue"
Role,Withdrawn Denied Incomplete Manager,Withdrawn Denied Incomplete Manager,UVMZ8,TRUE,FALSE,FALSE,FALSE,manager of the WDI Team. Assists when needed
Role,Controls Access to the Super User Role,zEMP_SuperUser,UVBM97,TRUE,FALSE,FALSE,FALSE,Controls Access to the Super User Role - BKFS Roles. Process ID not assigned to users.
Role,ZLPS BUSINESS ADMINISTRATION,ZLPS BUS ADMIN,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS BUSINESS ADMINISTRATION - BKFS Role. Process ID not assigned to users.
Role,ZLPS BUSINESS ADMINISTRATION VIEW ONLY,ZLPS BUS ADMIN VO,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS BUSINESS ADMINISTRATION VIEW ONLY-BKFS Role. Process ID not assigned to users.
Role,ZLPS SECURITY ADMINISTRATION,ZLPS SECURITY ADMIN,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS SECURITY ADMINISTRATION - BKFS Role. Process ID not assigned to users.
Role,ZLPS SECURITY ADMIN VO,ZLPS SECURITY ADMIN VO,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS SECURITY ADMINISTRATION VIEW ONLY - BKFS Role. Process ID not assigned to users.
Role,ZLPS SENSITIVE DATA,ZLPS SENSITIVE DATA,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS SENSITVE DATA VIEW - BKFS Role. Process ID not assigned to users.
Role,ZLPS TECHNICAL ADMINISTRATION,ZLPS TECH ADMIN,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS TECHNICAL ADMINISTRATION - BKFS Role. Process ID not assigned to users.
Role,ZLPS TECH ADMIN VO,ZLPS TECH ADMIN VO,UVBM97,TRUE,FALSE,FALSE,FALSE,ZLPS TECHNICAL ADMINISTRATION VIEW ONLY - BKFS Role. Process ID not assigned to users.
Role,ODS Admin Role,zLPSODSAdmin,UVBM97,TRUE,FALSE,FALSE,FALSE,ODS Admin Role - BKFS Role. Process ID not assigned to users.
Role,LOS Config Analyst,LOS Config Analyst,UVBM97,TRUE,FALSE,FALSE,FALSE,Full Access to LOS and Set Ups Except for View Access to MU01
